symbol,name,currency,exchange,mic_code,country,type,added_date,deleted_date
ABSLAMC,Aditya Birla Sun Life AMC Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABSLLIQUID,ABSL AMC Ltd. - ABSL Mutual Fund - Aditya Birla Sun Life Crisil Overnight Fund Ai Index ETF,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACC,ACC Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACCELYA,Accelya Solutions India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACCORD.SM,ACCORD SYNERGY LTD,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACCURACY,Accuracy Shipping Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACE,Action Construction Equipment Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACEINTEG,Ace Integrated Solutions Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACI,Archean Chemical Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ACL,Andhra Cements Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANIENSOL,Adani Energy Solutions Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANIENT,Adani Enterprises Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANIGREEN,Adani Green Energy Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANIGREEN.BL,ADANI GREEN ENERGY,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANIPORTS.BL,ADANI PORT SPECIAL,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
ADANIPOWER,Adani Power Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANITRANS,Adani Transmissions Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADANITRANS.BL,ADANI TRANSMISSION,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
ADFFOODS,ADF Foods Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADL,Archidply Decor Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADORWELD,Ador Welding Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADROITINFO,Adroit Infotech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADSL,Allied Digital Services Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADVANIHOTR,Advani Hotels & Resorts ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ADVENZYMES,Advanced Enzyme Technologies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AEGISCHEM,Aegis Logistics Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AEROFLEX,Aeroflex Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AETHER,Aether Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AFFLE,Affle ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGARIND,Agarwal Industrial Corporation Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGARWALFT.SM,AGARWAL FLOAT GL,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGI,AGI Greenpac Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGNI.SM,AGNI GREEN POWER L,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGRITECH,Agri-tech ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGROPHOS,Agro Phos ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGSTRA,AGS Transact Technologies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AGUL.SM,A G UNIVERSAL LIMI,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AHIMSA.SM,AHIMSA INDUSTRIES,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
AHL,Abans Holdings Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AHLADA,Ahlada Engineers Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AHLEAST,Asian Hotels ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AHLUCONT,Ahluwalia Contracts ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AHLWEST,Asian Hotels ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AIAENG,AIA Engineering Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AILIMITED.SM,ABHISHEK INTEGRATI,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AIRAN,Airan Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AIROLAM,Airo Lam Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AIRTELPP.E1,Bharti Rs. 1.25 ppd up,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AISL.SM,ANI INTEGRATED SER,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AJANTPHARM,Ajanta Pharma Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AJMERA,Ajmera Realty & Infra India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AJOONI,Ajooni Biotech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AJRINFRA,AJR Infra and Tolling Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKASH,Akash Infra-Projects Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKG,AKG Exim Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKI,AKI India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKSHAR,Akshar Spintex Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKSHARCHEM,AksharChem ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKSHOPTFBR,Aksh Optifibre Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AKZOINDIA,Akzo Nobel India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALANKIT,Alankit Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALBERTDAVD,Albert David Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALCHEM,Alchemist Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALEMBICLTD,Alembic Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALICON,Alicon Castalloy Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALKALI,Alkali Metals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALKEM,Alkem Laboratories Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALKYLAMINE,Alkyl Amines Chemicals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALLCARGO,Allcargo Logistics Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALLETEC.SM,ALL E TECHNOLOGIES,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALLSEC,Allsec Technologies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALMONDZ,Almondz Global Securities Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALOKINDS,Alok Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALPA,Alpa Laboratories Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALPHAGEO,Alphageo ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ALPSINDUS,Alps Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMARAJABAT,Amara Raja Batteries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMBER,Amber Enterprises India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMBER.BL,AMBER ENTERPRISES,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMBIKCO,Ambika Cotton Mills Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMBUJACEM,Ambuja Cements Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMDIND,AMD Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMEYA.SM,AMEYA PRECISION EN,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMIABLE.SM,AMIABLE LOGISTICS,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMIORG,Ami Organics Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMJLAND,AMJ Land Holdings Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AMRUTANJAN,Amrutanjan Health Care Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANANDRATHI,Anand Rathi Wealth Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANANTRAJ,Anant Raj Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANDHRACEMT,Andhra Cements Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANDHRAPAP,Andhra Paper Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANDHRSUGAR,The Andhra Sugars Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANDREWYU,Andrew Yule & Company Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANGELONE,Angel One Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANIKINDS,Anik Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANKITMETAL,Ankit Metal & Power Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANLON.SM,ANLON TECH SOL LTD,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANMOL,Anmol India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANNAPURNA.SM,ANNAPURNA SWADISHT,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANSALAPI,Ansal Properties & Infrastructure Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANSALHSG,Ansal Housing Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANTGRAPHIC,Antarctica Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANUP,The Anup Engineering Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ANURAS,Anupam Rasayan India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APARINDS,Apar Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APCL,Anjani Portland Cement Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APCOTEXIND,Apcotex Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APEX,Apex Frozen Foods Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APLAPOLLO,APL Apollo Tubes Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APLLTD,Alembic Pharmaceuticals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APOLLO,Apollo Micro Systems Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APOLLOPIPE,Apollo Pipes Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APOLLOTYRE,Apollo Tyres Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APOLSINHOT,Apollo Sindoori Hotels Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APTECHT,Aptech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
APTUS,Aptus Value Housing Finance India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARCHIDPLY,Archidply Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARCHIES,Archies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARCOTECH,Arcotech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARENTERP,Rajdarshan Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARHAM.SM,ARHAM TECHNOLOGIES,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARIES,Aries Agro Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARIHANT,Arihant Foundations & Housing Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARIHANTACA.SM,ARIHANT ACADEMY LT,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARIHANTCAP,Arihant Capital Markets Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARIHANTSUP,Arihant Superstructures Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARISTO.SM,ARISTO BIO-TECH AN,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARMANFIN,Arman Financial Services Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AROGRANITE,Aro Granite Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARROWGREEN,Arrow Greentech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARSHIYA,Arshiya Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARSSINFRA,ARSS Infrastructure Projects Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARTEMISMED,Artemis Medicare Services Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARTNIRMAN,Art Nirman Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARVEE,Arvee Laboratories ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARVIND,Arvind Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARVINDFASN,Arvind Fashions Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ARVSMART,Arvind SmartSpaces Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASAHIINDIA,Asahi India Glass Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASAHIINDIA.BL,ASAHI INDIA GLASS,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
ASAHISONG,Asahi Songwon Colors Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASAL,Automotive Stampings and Assemblies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASALCBR,Associated Alcohols & Breweries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASHAPURMIN,Ashapura Minechem Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASHIANA,Ashiana Housing Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASHIMASYN,Ashima Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASHOKA,Ashoka Buildcon Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASHOKAMET,Ashoka Metcast Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASHOKLEY,Ashok Leyland Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASIANENE,Asian Energy Services Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASIANHOTNR,Asian Hotels ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASIANPAINT,Asian Paints Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASIANTILES,Asian Granito India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASLIND.SM,ASL INDUSTRIES LTD,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASMS,Bartronics India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASPINWALL,Aspinwall and Company Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASTEC,Astec LifeSciences Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASTERDM,Aster DM Healthcare Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASTRAL,Astral Poly Technik Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASTRAMICRO,Astra Microwave Products Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASTRAZEN,AstraZeneca Pharma India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ASTRON,Astron Paper & Board Mill Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATALREAL,Atal Realtech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATALREAL.SM,ATAL REALTECH LTD,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATAM,Atam Valves Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATFL,Agro Tech Foods Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATGL,Adani Total Gas Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATL,Allcargo Terminals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATLANTA,Atlanta Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATLASCYCLE,Atlas Cycles ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATNINTER,ATN International Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATUL,Atul Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ATULAUTO,Atul Auto Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUBANK,AU Small Finance Bank Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AURDIS.SM,AURANGABAD DISTILL,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AURIONPRO,Aurionpro Solutions Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUROIMPEX.SM,AURO IMPEX & CHEMI,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUROPHARMA,Aurobindo Pharma Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AURUM,Aurum PropTech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AURUMPP.E1,Aurum PropTech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUSOMENT,Ausom Enterprise Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUTOAXLES,Automotive Axles Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUTOBEES,NIPPONAMC - NETFAUTO,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUTOIND,Autoline Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AUTOLITIND,Autolite ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVADHSUGAR,Avadh Sugar & Energy Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVALON,Avalon Technologies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVANTIFEED,Avanti Feeds Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVG,AVG Logistics Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVONMORE,Avonmore Capital & Management Services Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVROIND,Avro India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVSL.SM,AVSL INDUSTRIES LT,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AVTNPL,AVT Natural Products Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AWHCL,Antony Waste Handling Cell Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AWL,Adani Wilmar Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AXISBANK,Axis Bank Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AXISBANK.BL,AXIS BANK,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
AXISCADES,AXISCADES Engineering Technologies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AXISILVER,Axis AMC Ltd. - Axis Mutual Fund - Axis Silver Etf,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AXITA,Axita Cotton Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AXSENSEX,Axis Mutual Fund - Axis S&p Bse Sensex Etf,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AYMSYNTEX,AYM Syntex Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAFNAPH,Bafna Pharmaceuticals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAGFILMS,B.A.G. Films and Media Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAHETI.SM,BAHETI RECYCLING I,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAIDFIN,Baid Finserv Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJ.AUTO,Bajaj Auto Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJCON,Bajaj Consumer Care Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJELEC,Bajaj Electricals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJFINSV,Bajaj Finserv Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJHCARE,Bajaj HealthCare Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAJFINANCE,Bajaj Finance Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALAJITELE,Balaji Telefilms Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALAMINES,Balaji Amines Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALAXI,Balaxi Ventures Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALKRISHNA,Balkrishna Paper Mills Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALKRISIND,Balkrishna Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALLARPUR,Ballarpur Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALPHARMA,Bal Pharma Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BALRAMCHIN,Balrampur Chini Mills Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANARBEADS,Banaras Beads Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANARISUG,Bannari Amman Sugars Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANCOINDIA,Banco Products ,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANDHANBNK,Bandhan Bank Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANG,Bang Overseas Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANKA,Banka BioLoo Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANKBARODA,Bank of Baroda,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANKETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Bank ETF,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANKINDIA,Bank of India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BANSWRAS,Banswara Syntex Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BARBEQUE,Barbeque Nation Hospitality Ltd.,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BARTRONICS,Bartronics India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BASF,BASF India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BASILIC.ST,Basilic Fly Studio Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BASML,Bannari Amman Spinning Mills Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BATAINDIA,Bata India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BAYERCROP,Bayer CropScience Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BBL,Bharat Bijlee Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BBOX,Black Box Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BBTC,"The Bombay Burmah Trading Corporation, Limited",INR,NSE,XNSE,India,Common Stock,2023-09-25,
BBTCL,B&B Triplewall Containers Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BCG,Brightcom Group Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BCLIND,BCL Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
BCONCEPTS,Brand Concepts Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
